Species,Ssp,Var,author,Ssp_author,Synonym (scientific name),Common (Western) name,Family,Covered in TRY?,Covered in Native American Ethnobotany database? ,Covered in Pierce et al. 2017? ,Covered in knb?,IUCN Status,Endemic? (Y/N),,,,TRY data available
Acer circinatum,,,Pursh,,/,,Aceraceae,Y,Y,N,,Stable (Least Concern),,,,,requested
Acer glabrum,,,Torr.,,/,,Aceraceae,Y,Y,N,,Unknown (Least Concern),,,,,requested
Acer macrophyllum,,,Pursh,,/,,Aceraceae,Y,Y,N,,Unknown (Least Concern),,,,,requested
Achillea millefolium,,,L.,,/,,Asteraceae,Y,Y,N,,Unknown (Least Concern),,,,,requested
Achlys triphylla,,,(Smith) DC,,/,,Berberidaceae,Y,Y,N,,/,,,,,requested
Actaea rubra,,,(Aiton) Willd,,/,,Ranunculaceae,Y,Y,N,,/,,,,,requested
Agoseris glauca,,,(Pursh) Raf.,,/,,Asteraceae,Y,Y,Y,,/,,,,,requested
Allium cernuum,,,Roth,,,nodding onion,Liliaceae,Y,Y,N,,/,,,,,requested
Allium schoenoprasum,,var. sibiricum,(L.) Hartm.,,,wild chives,Liliaceae,Y,Y,N,,Stable (Least Concern),,,,,"requested, but as Allium schoenoprasum since var. type was not found"
Allium geyeri,,,S. Watson,,,Geyer's onion,Liliaceae,Y,Y,N,,Unknown (Least Concern),,,,,requested
Alnus incana,ssp. tenuifolia,,(L.) Moench,(Nutt.) Breitung,,mountain alder,Betulaceae,Y,Y,Y (not spp.),,Stable (Least Concern) ,,,,,requested
Alnus viridis,ssp. crispa,,(Chaix) DC.,(Aiton) Turrill,,green alder,Betulaceae,Y,Y,Y (not spp.),,/,,,,,not found
Alnus viridis,ssp. sinuata,,(Chaix) DC.,(Regel) A. Löve & D. Löve,,Sitka alder,Betulaceae,Y,Y,Y (not spp.),,/,,,,,not found
Alnus rubra,,,Bong,,,red alder,Betulaceae,Y,Y,N,,Stable (Least Concern),,,,,requested
Amelanchier alnifolia,,,Nutt. ex M. Roem.,,,saskatoonberry,Rosaceae,Y,Y,N,,Stable (Least Concern),,,,,requested
Anaphalis margaritacea,,,(L.) Benth.,,,pearly everlasting,Asteraceae,Y,Y,Y,,/,,,,,requested
Anemone multifida,,,Poir.,,,Pacific anemone,Ranunculaceae,Y,Y,N,,/,,,,,requested
Angelica genuflexa,,,Nutt.,,,kneeling angelica,Apiaceae,Y,Y,N,,/,,,,,requested
Angelica lucida,,,L.,,,seacoast angelica/sea-watch/wild celery,Apiaceae,Y,Y,N,,/,,,,,requested
Antennaria neglecta,,,Greene,,,field pussytoes,Asteraceae,Y,Y,N,,/,,,,,requested
Apocynum cannabinum,,,L.,,,Indian-hemp,Apocynaceae,Y,Y,N,,/,,,,,requested
Apocynum androsaemifolium,,,L.,,,spreading dogbane,Apocynaceae,Y,Y,Y,,/,,,,,requested
Aquilegia formosa,,,Fisch. ex DC.,,,western columbine,Ranunculaceae,Y,Y,N,,/,,,,,requested
Aralia nudicaulis,,,L.,,,wild sarsaparilla,Araliaceae,Y,Y,N,,/,,,,,requested
Arbutus menziesii,,,Pursh,,,Arbutus/Pacific madrone,Ericaceae,Y,Y,N,,Stable (Least Concern),,,,,requested
Arctostaphylos uva-ursi,,,(L.) Spreng.,,,kinnikinnick/bearberry,Ericaceae,Y,Y,Y,,/,,,,,requested
Arctous ruber,,,(Rehder.& E.H. Wilson),,Arctostaphylos rubra (Red. & Wilson) Fern.,red bearberry,Ericaceae,Y,Y,N,,/,,,,,not found
Argentina egedii,,,(Wormsk.) Rydb.,,,pacific silverweed,Rosaceae,Y,Y,N,,/,,,,,not found
Argentina anserina,,,(L.) Rydb.,,,common silverweed,Rosaceae,N,Y,N,,Unknown (Least Concern),,,,,requested
Arnica cordifolia,,,Hook.,,,heartleaved arnica,Asteraceae,Y,Y,N,,/,,,,,requested
Artemisia dracunculus,,,L.,,,wild tarragon/dragon sagewort,Asteraceae,Y,Y,Y,,/,,,,,requested
Artemisia frigida,,,Willd.,,,northern wormwood/prairie sagewort,Asteraceae,Y,Y,N,,/,,,,,requested
Artemisia ludoviciana,,,Nutt.,,,white sagebrush,Asteraceae,Y,Y,Y,,/,,,,,requested
Artemisia tilesii,,,Ledeb.,,,"Tilesius’ wormwood, or “caribou leaves”",Asteraceae,Y,Y,N,,/,,,,,requested
Artemisia tridentata,,,Nutt.,,,big sagebrush,Asteraceae,Y,Y,N,,Stable (Least Concern),,,,,requested
Aruncus dioicus,,,(Walter) Fernald,,,goatsbeard/bride's father,Rosaceae,Y,Y,Y,,/,,,,,requested
Asarum caudatum,,,Lindl.,,,wild ginger,Aristolochiaceae,Y,Y,N,,/,,,,,requested
Asclepias speciosa,,,Torr.,,,common milkweed,Asclepiadaceae,Y,Y,N,,/,,,,,requested
Balsamorhiza sagittata,,,(Pursh) Nutt.,,,arrowleaf balsamroot/spring sunflower,Asteraceae,Y,Y,N,,/,,,,,requested
Betula nana,,,L.,,,scrub birch,Betulaceae,Y,Y,Y,,Stable (Least Concern),,,,,requested
Betula pumila,,var. glandulifera,Regel,,,bog birch,Betulaceae,Y,Y,N,,Stable (Least Concern),,,,,found w/o var. glandulifolia
Betula occidentalis,,,Hook.,,,water birch,Betulaceae,Y,Y,N,,Stable (Least Concern),,,,,requested
Betula papyrifera,,,Marsh.,,,paper birch,Betulaceae,Y,Y,N,,Stable (Least Concern),,,,,requested
Boschniakia hookeri,,,Walp.,,,groundcone/poque,Orobanchaceae,Y,Y,N,,/,,,,,requested
Boschniakia rossica,,,(Cham. & Schltdl.) Fedtsch.,,,northern groundcone,Orobanchaceae,Y,Y,N,,/,,,,,requested
Bromus carinatus,,,Hook. & Arn.,,,bromegrass,Poaceae,Y,Y,N,,/,,,,,requested
Calamagrostis rubescens,,,Buckley,,,pinegrass/timbergrass,Poaceae,Y,Y,N,,/,,,,,requested
Calochortus macrocarpus,,,Douglas,,,sagebrush mariposa lily,Liliaceae,Y,Y,N,,/,,,,,requested
Calypso bulbosa,,,(L.) Oakes,,,false ladyslipper/fairy slipper,Orchidaceae,Y,Y,N,,/,,,,,requested
Camassia quamash,,,(Pursh) Greene,,,common camas,Liliaceae,Y,Y,N,,/,,,,,requested
Camassia leichtlinii,,,(Baker) S. Watson,,,,Liliaceae,Y,Y,N,,/,,,,,requested
Campanula rotundifolia,,,L.,,,blue harebell,Campanulaceae,Y,Y,this dataset does not seem worth it ,,/,,,,,requested
Carex obnupta,,,L.H. Bailey,,,slough sedge,Cyperaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Carex rostrata,,,Stokes,,,beaked sedge,Cyperaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Castilleja miniata,,,Douglas ex Hook.,,,red paintbrush,Scrophulariaceae,Y,Y,,,/,,,,,requested
Castilleja hispida,,,Benth.,,,harsh paintbruch,Scrophulariaceae,Y,Y,,,/,,,,,requested
Ceanothus sanguineus,,,Pursh,,,buckbrush/restem ceanothus,Rhamnaceae,Y,Y,,,/,,,,,requested
Ceanothus velutinus,,,Douglas ex Hook.,,,snowbrush,Rhamnaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Chenopodium capitatum,,,(L.) Asch.,,,strawberry blite,Chenopodiaceae,Y,Y,,,/,,,,,requested
Chimaphila umbellata,,,(L.) W. Bartram,,,pipsissewa/prince's pine,Ericaceae,Y,Y,,,/,,,,,requested
Cicuta douglasii,,,(DC.) J.M. Coult. & Rose,,,Douglas’ water-hemlock,Apiaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Cicuta virosa,,,L.,,,Mackenzie’s water-hemlock,Apiaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Cirsium brevistylum,,,Cronquist,,,clustered thistle,Asteraceae,Y,Y,,,/,,,,,requested
Cirsium edule,,,Nutt.,,,edibel thistle,Asteraceae,Y,Y,,,/,,,,,requested
Cirsium hookerianum,,,Nutt.,,,white thistle,Asteraceae,Y,Y,,,/,,,,,requested
Cirsium undulatum,,,Nutt.,,,wavyleaf thistle,Asteraceae,Y,Y,,,/,,,,,requested
Cirsium arvense,,,(L.) Scop.,,,Canada thistle,Asteraceae,Y,Y,,,/,,,,,requested
Cirsium vulgare,,,(Savi) Ten.,,,Scottish thistle/bull thistle,Asteraceae,Y,Y,,,/,,,,,requested
Claytonia lanceolata,,,Pall. ex Pursh,,,spring beauty/mountain pine,Portulacaceae,Y,Y,,,/,,,,,requested
Claytonia sibirica,,,L.,,,Siberian miner’s lettuce,Portulacaceae,Y,Y,,,/,,,,,requested
Clematis columbiana,,,(Nutt.) Torr. & A. Gray,,,rock blue clematis,Ranunculaceae,Y,Y,,,/,,,,,requested
Clematis occidentalis,,,(Hornem.) DC.,,,western blue clematis/blue virgin’s-bower,Ranunculaceae,Y,Y,,,/,,,,,requested
Clematis ligusticifolia,,,Nutt.,,,western white clematis,Ranunculaceae,Y,Y,,,/,,,,,requested
Clintonia uniflora,,,(Menzies ex Schult. & Schult. f.) Kunth,,,Queenscup,Liliaceae,Y,Y,,,/,,,,,requested
Comandra umbellata,,,(L.) Nutt.,,,bastard toadflax,Santalaceae,Y,Y,,,/,,,,,requested
Comarum palustre,,,L.,,,purple marshlocks/marsh cinquefoil,Rosaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Conioselinum gmelinii,,,(Cham. & Schltdl.) Steud.,,,Pacific hemlockparsley,Apiaceae,N,Y,,,/,,,,,not found
Cornus canadensis,,,L.,,,Canada bunchberry/dwarf dogwood,Cornaceae,Y,Y,,,/,,,,,requested
Cornus unalaschkensis,,, Ledeb.,,,western cordilleran bunchberry,Cornaceae,Y,Y,,,/,,,,,requested
Cornus suecica,,,L.,,,dwarf bog bunchberry,Cornaceae,Y,Y,,,/,,,,,requested
Cornus nuttallii,,,Audubon ex Torr. & A. Gray,,,Pacific flowering dogwood,Cornaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Cornus sericea,,,L.,,,red-osier dogwood/red willow,Cornaceae,Y,Y,,,Increasing (Least Concern),,,,,requested
Corylus cornuta,,,Marhs.,,,beaked hazelnut,Betulaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Crataegus douglasii,,,Lindl.,,,black hawthorn,Rosaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Dasiphora fruticosa,,,(L.) Rydb.,,,shrubby cinquefoil,Rosaceae,Y,N,,,/,,,,,requested
Delphinium nuttallianum,,,Pritz. ex Walp,,,larkspur,Ranunculaceae,Y,Y,,,/,,,,,requested
Dicentra formosa,,,(Haw.) Walp.,,,Pacific bleedingheart,Fumariaceae,Y,Y,,,/,,,,,requested
Dodecatheon hendersonii,,,A. Gray,,,shootingstars,Primulaceae,Y,Y,,,/,,,,,not found
Dodecatheon pauciflorum,,,(Durand) Greene,,,shootingstars,Primulaceae,N,N,,,/,,,,,not found
Dodecatheon pulchellum,,,(Raf.) Merr.,,,shootingstars,Primulaceae,Y,Y,,,/,,,,,not found
Dodecatheon jeffreyi,,,Van Houtte,,,shootingstars,Primulaceae,Y,Y,,,/,,,,,not found
Drosera rotundifolia,,,L.,,,English sundew,Droseraceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Drosera anglica,,,Huds.,,,English sundew,Droseraceae,Y,N,,,/,,,,,requested
Elaeagnus commutata,,,Bernh. ex Rydb,,,silveryberry,Elaeagnaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Empetrum nigrum,,,L.,,,black crowberry/blackberry,Empetraceae,Y,Y,,,/,,,,,requested
Epilobium angustifolium,,,L.,,,firewood,Onagraceae,Y,N,,,/,,,,,requested
Ericameria nauseosa,,,(Pall. ex Pursh) G.L. Nesom & Baird,,,common rabbitbrush,Asteraceae,Y,Y,,,/,,,,,requested
Eriophorum angustifolium,,,Honck.,,,cottongrass,Cyperaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Eriophorum chamissonis,,,C.A. May.,,,cottongrass,Cyperaceae,Y,N,,,Unknown (Least Concern),,,,,requested
Erythronium grandiflorum,,,Pursh.,,,yellow glacier lily/yellow avalance,Liliaceae,Y,Y,,,/,,,,,requested
Eurybia conspicua,,,(Lindl.) G.L. Nesom,,,western showy aster,Asteraceae,Y,Y,,,/,,,,,requested
Fragaria chiloensis,,,(L.) Mill.,,,seaside/beach strawberry,Rosaceae,Y,Y,,,/,,,,,requested
Fragaria vesca,,,L.,,,woodland strawberry,Rosaceae,Y,Y,,,/,,,,,requested
Fragaria virginiana,,,Duchesne,,,blueleaf/Virgina strawberry,Rosaceae,Y,Y,,,/,,,,,requested
Frangula purshiana,,,(DC.) Cooper,,,Cascara,Rhamnaceae,Y,Y,,,Decreasing (Least Concern),,,,,requested
Frasera montana,,,Mulford,,,White Frasera,Gentianaceae,Y,Y,,,/,,,,,requested
Fritillaria affinis,,,(Schult.) Sealy,,,chocolate lily/riceroot,Liliaceae,Y,Y,,,/,,,,,requested
Fritillaria camschatcensis,,,(L.) Ker Gawl.,,,"northern riceroot, Kamchatka fritillaria, sarana lily",Liliaceae,Y,Y,,,/,,,,,requested
Fritillaria pudica,,,(Pursh) Spreng.,,,yellowbells/yellow fritillary,Liliaceae,Y,Y,,,/,,,,,requested
Gaillardia aristata,,,Pursh,,,"brown-eyed Susan, blanketflower, or common gaillardia",Asteraceae,Y,Y,,,/,,,,,requested
Galium aparine,,,L.,,,common bedstraw,Rubiaceae,Y,Y,,,/,,,,,requested
Galium triflorum,,,Michx.,,,sweet-scented bedstraw,Rubiaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Gaultheria shallon,,,Pursh,,,salal,Ericaceae,Y,Y,,,/,,,,,requested
Geranium viscosissimum,,,Fisch. & C.A. Mey. ex C.A. Mey.,,,sticky purple geranium,Geraniaceae,Y,Y,,,/,,,,,requested
Geum macrophyllum,,,Willd.,,,large-leaved avens,Rosaceae,Y,Y,,,/,,,,,requested
Geum triflorum,,,Pursh,,,old man’s whiskers/prairie smoke,Rosaceae,Y,Y,,,/,,,,,requested
Glaux maritima,,,L.,,,sea milkwort,Primulaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Goodyera oblongifolia,,,Raf.,,,western rattlesnake plantain,Orchidaceae,Y,Y,,,/,,,,,requested
Hackelia diffusa,,,(Lehm.) I.M. Johnst.,,,spreading stickseed,Boraginaceae,Y,Y,,,/,,,,,requested
Lappula occidentalis,,,(S. Watson) Greene,,,western stickseed,Boraginaceae,Y,Y,,,/,,,,,requested
Hedysarum alpinum,,,L.,,,alpine sweetvetch,Fabaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Heracleum maximum,,,Bartram,,,common cow-parsnip,Apiaceae,Y,Y,,,Unknown (Least Concern),,,,,not found
Heuchera cylindrica,,,Douglas ex Hook.,,,roundleaf alumroot,Saxifragaceae,Y,Y,,,/,,,,,requested
Heuchera chlorantha,,,Piper,,,meadow alumroot,Saxifragaceae,Y,N,,,/,,,,,request
Hierochloe hirta,,,(Schrank) Borbás,,,northern sweetgrass,Poaceae,Y,N,,,/,,,,,not found
Hordeum jubatum,,,L.,,,foxtail barley,Poaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Holodiscus discolor,,,(Pursh) Maxim,,,oceanspray,Rosaceae,Y,Y,,,/,,,,,requested
Juncus effusus,,,L.,,,common rush,Juncaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Kalmia microphylla,,,(Hook.) A. Heller,,,bog/swamp laurel,Ericaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Lathyrus ochroleucus,,,Hook.,,,cream pea,Fabaceae,Y,Y,,,/,,,,,requested
Lathyrus japonicus,,,Willd.,,,beach pea,Fabaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Lathyrus nevadensis,,,S. Watson,,,Sierra pea,Fabaceae,Y,Y,,,/,,,,,requested
Lewisia rediviva,,,Pursh,,,bitterroot,Portulaceae,Y,Y,,,/,,,,,requested
Leymus cinereus,,,(Scribn. & Merr.) A. Love,,,basin/giant wildrye,Poaceae,Y,Y,,,/,,,,,requested
Leymus mollis,,,(Trin.) Pilg.,,,American dunegrass,Poaceae,Y,Y,,,/,,,,,requested
Ligusticum canbyi,,,(J.M. Coult. & Rose) J.M. Coult. & Rose,,,Canby's lovage/Canby’s licorice-root,Apiaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Ligusticum scoticum,,,L.,,,Scottish lovage/ Scottish licorice-root,Apiaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Lilium columbianum,,,Leichtlin,,,tiger lily/Columbia lily,Liliaceae,Y,Y,,,/,,,,,requested
Linnaea borealis,,,L.,,,twinflower,Caprifoliaceae,Y,Y,,,/,,,,,requested
Lithospermum ruderale,,,Douglas ex Lehm.,,,western stoneseed,Boraginaceae,Y,Y,,,/,,,,,requested
Lomatium canbyi,,,(J.M. Coult. & Rose) J.M. Coult. & Rose,,,Canby’s biscuitroot,Apiaceae,Y,Y,,,/,,,,,requested
Lomatium cous,,,(S. Watson) J.M. Coult. & Rose,,,/,Apiaceae,Y,Y,,,/,,,,,requested
Lomatium dissectum,,,(Nutt.) Mathias & Constance,,,"chocolate tips, or fernleaf biscuitroot",Apiaceae,Y,Y,,,/,,,,,requested
Lomatium geyeri,,,(S. Watson) J.M. Coult. & Rose,,,Geyer’s biscuitroot,Apiaceae,Y,Y,,,/,,,,,requested
Lomatium macrocarpum,,,(Nutt. ex Torr. & A. Gray) J.M. Coult. & Rose,,,desert parsley/bigseed biscuitroot,Apiaceae,N,Y,,,/,,,,,requested
Lomatium nudicaule,,,(Pursh) J.M. Coult. & Rose,,,"“wild celery,” barestem lomatium/barestem biscuitroot",Apiaceae,Y,Y,,,/,,,,,requested
Lonicera ciliosa,,,(Pursh) Poir. ex DC.,,,orange honeysuckle,Caprifoliaceae,Y,Y,,,/,,,,,requested
Lonicera involucrata,,,(Richardson) Banks ex Spreng.,,,"black twinberry, or twinflower honeysuckle",Caprifoliaceae,Y,Y,,,/,,,,,requested
Lupinus nootkatensis,,,Donn ex Sims,,,Nootka lupine,Fabaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Lupinus polyphyllus,,,Lindl,,,bigleaf lupine,Fabaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Lysichiton americanus,,,Hultén & H. St. John,,,American skunk-cabbage,Araceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Mahonia aquifolium,,,(Pursh) Nutt.,,,tall Oregon-grape,Berberidaceae,Y,Y,,,/,,,,,not found
Mahonia nervosa,,,(Pursh) Nutt.,,,dull-leaved Oregon-grape,Berberidaceae,N,Y,,,/,,,,,not found
Maianthemum dilatatum,,,(Alph. Wood) A. Nelson & J.F. Macbr.,,,"wild lily-of-thevalley, or false lily-of-the-valley",Liliaceae,Y,Y,,,/,,,,,requested
Maianthemum racemosum,ssp. amplexicaule,,,(Nutt.) LaFrankie,,false Solomon's-seal,Liliaceae,Y,Y,,,/,,,,,requested
Malus fusca,,,(Raf.) C.K. Schneid,,,Pacific crabapple,Rosaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Mentha arvensis,,,L.,,,field mint/Canada mint,Lamiaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Menziesia ferruginea ,,,Sm.,,,false azalea/fool’s huckleberry,Ericaceae,Y,Y,,,/,,,,,not found
Moneses uniflora,,,(L.) A. Gray,,,single delight/one-flowered pyrola,Ericaceae,Y,Y,,,/,,,,,requested
Monotropa uniflora,,,L.,,,Indian-pipe,Monotropaceae,Y,Y,,,/,,,,,requested
Myrica gale,,,L.,,,sweetgale,Myricaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Nicotiana attenuata,,,Torr. ex S. Watson,,,wild/coyote tobacco,Solanaceae,N,Y,,,/,,,,,requested
Nicotiana quadrivalvis,,,Pursh,,,Haida/Northwest Coast tobacco,Solanaceae,Y,Y,,,/,,,,,requested
Nicotiana tabacum,,,L.,,,cultivated tobacco,Solanaceae,Y,Y,,,/,,,,,requested
Nuphar lutea,,,(L.) Sm. ssp. polysepala (Engelm.) E.O. Beal,,,yellow pond-lily,Nymphaeaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Oemleria cerasiformis,,,(Torr. & A. Gray ex Hook. & Arn.) Landon,,,"bird plum, bird cherry",Rosaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Oenanthe sarmentosa,,,C. Presl ex DC.,,,water-parsley,Apiaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Oplopanax horridus,,,(Sm.) Miq.,,,devil’s-club,Araliaceae,Y,Y,,,/,,,,,requested
Opuntia fragilis,,,(Nutt.) Haw.,,,brittle pricklypear cactus,Cactaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Opuntia polyacantha,,,Haw.,,,plains pricklypear cactus,Cactaceae,Y,Y,,,Stable (Least Concern),,,,,requested
Osmorhiza berteroi,,,DC,,,sweet cicely,Apiaceae,Y,Y,,,/,,,,,requested
Osmorhiza occidentalis,,,(Nutt.) Torr.,,,western sweet cicely/ “sweetroot”,Apiaceae,Y,Y,,,/,,,,,requested
Oxalis oregana,,,Nutt.,,,Oregon woodsorrel,Oxalidaceae,Y,Y,,,/,,,,,requested
Oxyria digyna,,,(L.) Hill,,,mountain sorrel,Polygonaceae,Y,Y,,,/,,,,,requested
Paxistima myrsinites,,,(Pursh) Raf.,,,false box/Oregon boxleaf,Celastraceae,Y,Y,,,/,,,,,requested
Penstemon fruticosus,,,(Pursh) Greene,,,shrubby penstemon,Scrophulariaceae,Y,Y,,,/,,,,,requested
Perideridia gairdneri,,,(Hook. & Arn.) Mathias,,,wild caraway/yampah,Apiaceae,Y,Y,,,/,,,,,requested
Petasites frigidus,,,(L.) Fr. var. sagittatus (Banks ex Pursh) Cherniawsky,,,arrowleaf sweet coltsfoot,Asteraceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Phalaris arundinacea,,,L.,,,reed canarygrass,Poaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Philadelphus lewisii,,,Pursh,,,mock-orange,Hydrangeaceae,Y,Y,,,/,,,,,requested
Phyllospadix scouleri,,,Hook. and P. torreyi S. Watson,,,surf-grass/seagrass,Zosteraceae,Y,Y,,,Stable (Least Concern),,,,,requested
Physocarpus capitatus,,,(Pursh) Kuntze,,,Pacific ninebark,Rosaceae,Y,Y,,,/,,,,,requested
Physocarpus malvaceus,,,(Greene) Kuntze,,,mallow ninebark,Rosaceae,Y,Y,,,/,,,,,requested
Plantago major,,,L.,,,"broadleaved plantain, or common plantain",Plantaginaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Plantago maritima,,,L.,,,"seaside plantain, or goose tongue",Plantaginaceae,Y,Y,,,Unknown (Least Concern),,,,,requested
Platanthera dilatata,,,(Pursh) Lindl. ex Beck,,,scented bog orchid,Orchidaceae,Y,Y,,,/,,,,,requested
